,Date,User,Tweet
4103,2022-12-19 21:36:32+00:00,AnaAbdin,Knowing Christiano Ronaldo is not gling to participate is saddening. He has been great to his teamates behind the scene but it wasn't seen.
4104,2022-12-19 21:36:30+00:00,FinishedPanda,@igobymilli @Vibezcfc @Paza_Xs @Joshua_Ubeku @UTDTrey Mbappe and Ronaldo’s fans heads are in Jupiter lmaooooooo https://t.co/9nSt0apazf
4105,2022-12-19 21:36:30+00:00,lufcraphinha,@Payfil @nocontextfooty He’s literally not even the best ronaldo
4106,2022-12-19 21:36:29+00:00,TotalRMA,@Joshua_Ubeku It was never a debate. Ronaldo was getting in the debate because he was on a scary form from 2016-2018.
4107,2022-12-19 21:36:27+00:00,brownyejnr,@Blesing_Andrew @BinzuKing But Ronaldo &gt;&gt;messi
4108,2022-12-19 21:36:26+00:00,du_cre,"@Football__Tweet 🏴󠁧󠁢󠁥󠁮󠁧󠁿 Man Utd: Beckham
🏴󠁧󠁢󠁥󠁮󠁧󠁿 Chelsea: Drogba
🏴󠁧󠁢󠁥󠁮󠁧󠁿 Liverpool: Gerrard
🏴󠁧󠁢󠁥󠁮󠁧󠁿 Arsenal: Henry
🇫🇷 PSG: Weah
🇮🇹 AC Milan: Van Basten
🇮🇹 Inter: Ronaldo
🇮🇹 Juventus: Del Piero
🇪🇸 Real Madrid: Raul
🇪🇸 Barcelona: Messi
🇩🇪 Bayern: Mathaus"
4109,2022-12-19 21:36:23+00:00,Hakan94496045,@AlonzoFayehun @Ltardw @pk_14dk @UTDTrey Ronaldo was just an example of someone having a misfortunate situation that happened to them. Yes there are many other players with such misfortunate situations but none of them were made fun of this much than cr7 back when he lost his unborn kid.
4110,2022-12-19 21:36:15+00:00,ShantaBlind,"If only Cristiano Ronaldo got to play in the Euro 2016 final. It used to be enough that he just won the trophy because Messi had no national team title, but now it’s really regretful. He didn’t get to play in the biggest game of his career."
4111,2022-12-19 21:36:13+00:00,_LordBee_,"Cristiano Ronaldo Jr will win the World Cup for his dad ♥️

Mark my words"
4112,2022-12-19 21:36:09+00:00,KratosS79673300,@TheEuropeanLad 😤 when an egg poses a bigger challenge than Ronaldo
